,Rk,Year,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,WS,WS/48,Born2,College2,Pos2
181,182,2003,3,DEN,Carmelo Anthony,19.032,F,us,Syracuse,2004.0,2020.0,1114.0,35.7,102.0,0.123,USA,1,Forward
182,183,2003,4,TOR,Chris Bosh,19.098,F-C,us,Georgia Tech,2004.0,2016.0,893.0,35.8,106.0,0.159,USA,1,Big
183,184,2003,5,MIA,Dwyane Wade,21.165,G,us,Marquette,2004.0,2019.0,1054.0,33.9,120.7,0.162,USA,1,Guard
184,185,2003,6,LAC,Chris Kaman,21.064,C,us,Central Michigan University,2004.0,2016.0,735.0,26.7,24.6,0.06,USA,1,Center
185,186,2003,7,CHI,Kirk Hinrich,22.18,G,us,Kansas,2004.0,2016.0,879.0,30.7,52.5,0.093,USA,1,Guard
186,187,2003,8,MIL,T.J. Ford,20.099,G,us,Texas,2004.0,2012.0,429.0,27.7,16.9,0.068,USA,1,Guard
187,188,2003,9,NYK,Mike Sweetney,20.249,F,us,Georgetown,2004.0,2007.0,233.0,15.5,7.8,0.103,USA,1,Forward
188,189,2003,10,WAS,Jarvis Hayes,21.326,F,us,Georgia,2004.0,2010.0,427.0,23.2,10.2,0.049,USA,1,Forward
189,190,2003,11,GSW,Mickal Pitrus,21.144,G-F,gp,,2004.0,2013.0,557.0,21.5,19.7,0.079,World,0,Swingman
190,191,2003,12,SEA,Nick Collison,22.248,F,us,Kansas,2005.0,2018.0,910.0,20.4,44.5,0.115,USA,1,Forward
191,192,2003,13,MEM,Marcus Banks,21.224,G,us,UNLV,2004.0,2011.0,348.0,16.0,6.6,0.057,USA,1,Guard
192,193,2003,14,SEA,Luke Ridnour,22.138,G,us,Oregon,2004.0,2015.0,830.0,26.1,36.0,0.08,USA,1,Guard
193,194,2003,15,ORL,Reece Gaines,22.175,G,us,Louisville,2004.0,2006.0,71.0,8.5,-0.6,-0.049,USA,1,Guard
194,195,2003,16,BOS,Troy Bell,22.233,G,us,Boston College,2004.0,2004.0,6.0,5.7,-0.2,-0.326,USA,1,Guard
195,196,2003,17,PHO,_arko _abarkapa,22.041,F,rs,,2004.0,2006.0,150.0,10.3,1.1,0.035,World,0,Forward
196,197,2003,18,NOH,David West,22.306,F-C,us,Xavier,2004.0,2018.0,1034.0,28.2,85.9,0.141,USA,1,Big
197,198,2003,19,UTA,Sasha Pavlovi_,19.228,G-F,me,,2004.0,2013.0,567.0,15.7,7.0,0.038,World,0,Swingman
198,199,2003,20,BOS,Dahntay Jones,22.186,G-F,us,Duke,2004.0,2017.0,624.0,15.7,9.9,0.048,USA,1,Swingman
199,200,2003,21,ATL,Boris Diaw,21.076,F-C,fr,,2004.0,2017.0,1064.0,27.0,51.6,0.086,World,0,Big
200,201,2003,22,NJN,Zoran Planini_,20.292,G,ba,,2004.0,2006.0,148.0,10.7,1.5,0.046,World,0,Guard
201,202,2003,23,POR,Travis Outlaw,18.285,F,us,,2004.0,2014.0,622.0,20.9,16.5,0.061,USA,0,Forward
